TICKET,SYMBOL,ACTION,LOTS,OPEN_TIME,CLOSE_TIME,PROFIT,COMM,SWAP,COMMENT,TP,SL,OPEN_PRICE,CLOSE_PRICE,Net_PnL,Balance_In,Balance_Out,Duration_Hours,Trading_Style,Asset_Class,Result
768975076,AUDJPYr,Sell,0.01,2025-10-30 06:14:59,2025-10-30 06:25:26,0.02,0.0,0.0,,0.0,0.0,100.469,100.465,0.02,0,0,0.18,SCALP,Forex,WIN
768971028,XAUUSDr,Sell,0.01,2025-10-30 04:51:49,2025-10-30 05:27:33,-5.42,0.0,0.0,[sl],0.0,3934.19,3928.82,3934.24,-5.42,0,0,0.60,SCALP,Gold,LOSS
768967689,XAUUSDr,Buy,0.01,2025-10-30 04:33:33,2025-10-30 04:51:59,-10.53,0.0,0.0,,0.0,3925.54,3938.35,3927.82,-10.53,0,0,0.31,SCALP,Gold,LOSS
768944794,USDJPYr,Sell,0.01,2025-10-29 17:08:14,2025-10-29 18:06:17,-1.0,0.0,0.0,so: 19.0%/0.2/1.0,0.0,0.0,151.951,152.103,-1.0,0,0,0.97,SCALP,Forex,LOSS
768944889,USDJPYr,Sell,0.01,2025-10-29 17:57:11,2025-10-29 18:06:03,-0.89,0.0,0.0,so: 20.0%/0.4/2.0,0.0,0.0,151.936,152.071,-0.89,0,0,0.15,SCALP,Forex,LOSS
